YearMonth,New Democracy,SYRIZA,PASOK,KKE,Elliniki Lysi,MERA25
2021-01,37.07,21.3,6.32,5.5,3.8,2.58
2021-02,36.03,21.53,6.47,5.07,3.7,3.17
2021-03,34.94,21.84,6.31,5.19,4.27,3.04
2021-04,35.03,22.17,6.28,5.22,3.83,2.92
2021-05,35.35,21.15,6.5,5.32,3.92,3.4
2021-06,35.86,22.7,6.52,5.6,3.72,3.18
2021-07,34.83,21.87,6.67,5.07,3.87,3.03
2021-08,33.75,24.7,6.45,5.25,3.8,2.5
2021-09,33.83,22.98,6.36,5.48,3.91,3.14
2021-10,33.98,23.18,6.18,5.05,3.88,2.68
2021-11,32.49,21.82,8.85,5.32,3.99,3.17
2021-12,31.81,21.24,12.41,4.97,3.79,2.69
2022-01,31.3,21.82,13.95,4.85,4.18,2.55
2022-02,31.69,21.92,12.62,5.16,3.82,2.68
2022-03,30.73,21.68,12.62,5.37,4.3,2.69
2022-04,30.05,22.85,12.3,4.6,4.1,2.45
2022-05,30.23,21.74,12.42,5.22,4.46,2.79
2022-06,30.98,23.02,12.4,5.24,4.14,2.58
2022-07,31.03,23.19,11.73,5.26,4.33,2.63
2022-08,31.7,24.3,12.2,5.55,4.9,2.55
2022-09,30.13,22.82,11.49,5.16,4.03,3.05
2022-10,30.68,23.03,10.85,5.2,4.07,3.02
2022-11,30.49,23.88,10.95,5.16,3.88,2.76
2022-12,31.6,24.45,11.1,5.37,3.93,2.82
2023-01,30.9,24.36,10.39,5.21,3.71,2.78
2023-02,32.28,25.02,9.64,5.36,3.56,2.54
2023-03,27.85,23.97,9.12,5.74,3.83,3.46
2023-04,30.22,25.0,9.22,5.84,3.69,3.66
2023-05,31.36,25.49,9.04,6.25,3.16,3.44
